"id";"code";"name";"value";"description";"mi_owner";"mi_createdate";"mi_createuser";"mi_modifydate";"mi_modifyuser";"mi_deletedate";"mi_deleteuser"
3000000054615;maxMissionIntDayCount;Максимальний строк відрядження на рік в межах країни;"30";Максимальний строк відрядження на рік в межах країни;10;2021-10-31 18:48:57.000;10;2021-10-31 18:48:57.000;10;9999-12-31 00:00:00.000;
3000000054618;maxMissionExtDayCount;Максимальний строк відрядження на рік за кордон;"60";Максимальний строк відрядження на рік за кордон;10;2021-10-31 18:48:57.000;10;2021-10-31 18:48:57.000;10;9999-12-31 00:00:00.000;
3000000054621;maxDiffWorkExp;Максимальна різніця в днях для розрахунку безперервного загального стажу;"30";Максимальна різніця в днях для розрахунку безперервного загального стажу;10;2021-10-31 18:48:57.000;10;2021-10-31 18:48:57.000;10;9999-12-31 00:00:00.000;
3000000054624;maxDiffGovExp;Максимальна різніця в днях для розрахунку безперервного стажу державної служби;"30";Максимальна різніця в днях для розрахунку безперервного стажу державної служби;10;2021-10-31 18:48:57.000;10;2021-10-31 18:48:57.000;10;9999-12-31 00:00:00.000;
